edge_id,road_id,from_node,to_node,normal_minutes,disrupted_minutes,road_disruption_probability_0_1,candidate_closure_status,subdistrict_id,bridge_flag
MS-EDGE-0016603,546930287,N-99.8860377-20.3852132,N-99.8846301-20.3854729,0.358873,0.516777,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016604,546930288,N-99.8877535-20.3848967,N-99.8878475-20.3852978,0.109593,0.157814,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016605,546930288,N-99.8878475-20.3852978,N-99.8874709-20.3853742,0.096389,0.1388,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016606,546930289,N-99.9243882-20.3410474,N-99.9250750-20.3418645,0.347048,0.49975,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016607,546930289,N-99.9250750-20.3418645,N-99.9252011-20.3420271,0.067065,0.096574,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016608,546930289,N-99.9252011-20.3420271,N-99.9251826-20.3420841,0.019875,0.02862,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016609,546930289,N-99.9251826-20.3420841,N-99.9251063-20.3422277,0.053518,0.077067,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016610,546930289,N-99.9251063-20.3422277,N-99.9250883-20.3422905,0.021692,0.031237,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016611,546930289,N-99.9250883-20.3422905,N-99.9250883-20.3425419,0.083863,0.120763,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016612,546930289,N-99.9250883-20.3425419,N-99.9250659-20.3426496,0.036604,0.05271,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016613,546930289,N-99.9250659-20.3426496,N-99.9250120-20.3428066,0.055019,0.079228,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016614,546930289,N-99.9250120-20.3428066,N-99.9249223-20.3429682,0.060771,0.087511,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016615,546930289,N-99.9249223-20.3429682,N-99.9249088-20.3430714,0.034684,0.049945,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016616,546930289,N-99.9249088-20.3430714,N-99.9250973-20.3435157,0.159508,0.229692,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016617,546930289,N-99.9250973-20.3435157,N-99.9257212-20.3448740,0.493343,0.710414,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016618,546930289,N-99.9257212-20.3448740,N-99.9268476-20.3468592,0.750115,1.080165,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016619,546930289,N-99.9268476-20.3468592,N-99.9271527-20.3474516,0.21945,0.316007,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016620,546930289,N-99.9271527-20.3474516,N-99.9272964-20.3476760,0.087313,0.12573,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016621,546930289,N-99.9272964-20.3476760,N-99.9275926-20.3480934,0.167242,0.240828,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016622,546930289,N-99.9275926-20.3480934,N-99.9277631-20.3483941,0.113603,0.163588,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016623,546930289,N-99.9277631-20.3483941,N-99.9278349-20.3484748,0.035057,0.050482,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016624,546930289,N-99.9278349-20.3484748,N-99.9279695-20.3486768,0.079454,0.114413,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016625,546930289,N-99.9279695-20.3486768,N-99.9280234-20.3487890,0.04105,0.059111,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016626,546930289,N-99.9280234-20.3487890,N-99.9280772-20.3489865,0.067998,0.097917,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016627,546930289,N-99.9280772-20.3489865,N-99.9280772-20.3491660,0.059878,0.086225,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016628,546930289,N-99.9280772-20.3491660,N-99.9280054-20.3495250,0.121844,0.175456,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016629,546930289,N-99.9280054-20.3495250,N-99.9280054-20.3495878,0.020949,0.030167,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016630,546930289,N-99.9280054-20.3495878,N-99.9280503-20.3497404,0.052807,0.076041,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016631,546930289,N-99.9280503-20.3497404,N-99.9286068-20.3510419,0.46775,0.67356,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016632,546930289,N-99.9286068-20.3510419,N-99.9288222-20.3515131,0.171014,0.24626,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016633,546930289,N-99.9288222-20.3515131,N-99.9291184-20.3519305,0.167241,0.240827,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016634,546930289,N-99.9291184-20.3519305,N-99.9292620-20.3521639,0.089884,0.129433,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016635,546930289,N-99.9292620-20.3521639,N-99.9293608-20.3522895,0.052061,0.074967,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016636,546930289,N-99.9293608-20.3522895,N-99.9297072-20.3527902,0.199086,0.286684,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016637,546930289,N-99.9297072-20.3527902,N-99.9298815-20.3530726,0.10884,0.15673,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016638,546930292,N-99.8910103-20.3866141,N-99.8907157-20.3866532,0.07443,0.107179,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016639,546930292,N-99.8907157-20.3866532,N-99.8901636-20.3867295,0.139602,0.201027,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016640,546930292,N-99.8901636-20.3867295,N-99.8899283-20.3867600,0.059421,0.085566,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016641,546930293,N-99.8911254-20.3874868,N-99.8910615-20.3866821,0.215343,0.310093,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016642,546930293,N-99.8910615-20.3866821,N-99.8910103-20.3866141,0.022212,0.031985,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016643,546930293,N-99.8910103-20.3866141,N-99.8909670-20.3856579,0.255409,0.367789,0.11,candidate_open_with_delay,TH570904,False
